"long","lat","bio1","bio12"
-68.7291666663375,-20.1458333335955,2.50816702842712,115
-68.6041666663365,-20.1041666669285,4.54833316802979,107
-68.7708333330045,-20.0208333335945,3.92650008201599,108
-68.6458333330035,-19.9375000002605,5.61149978637695,110
-67.6874999996625,-19.8958333335935,7.63749980926514,127
-67.6041666663285,-19.8958333335935,7.6395001411438,128
-67.6874999996625,-19.8958333335935,7.63749980926514,127
-68.8124999996715,-19.8958333335935,4.76333284378052,111
-68.8124999996715,-19.7708333335925,1.02566695213318,161
-66.3541666663185,-19.7708333335925,7.09216690063477,176
-66.8124999996555,-19.7291666669255,8.96199989318848,135
-68.8124999996715,-19.6875000002585,1.40983295440674,172
